# Shared terms. english<TAB>thai<TAB>note
# Append anything a later batch will also hit. Weapons, stats and status effects recur everywhere.

# --- core nouns ---
Relic	เรลิค	tarot-themed passive items; keep as a loanword, ศักดิ์สิทธิ์/วัตถุมงคล reads far too solemn
Pearl	ไข่มุก
Weapon Part	ชิ้นส่วนอาวุธ
Weapon	อาวุธ
Item	ไอเทม
Tarot	ไพ่ทาโรต์
Chapter	บท
Boss	บอส
Skill	สกิล
Talent	พรสวรรค์
Buff	บัฟ
Debuff	ดีบัฟ

# --- stats ---
Health	พลังชีวิต
HP	HP	leave the abbreviation alone in cramped stat rows
Damage	ความเสียหาย
Attack	โจมตี
Defense	ป้องกัน
Speed	ความเร็ว
Critical Rate	อัตราคริติคอล
Critical Damage	ความเสียหายคริติคอล
Range	ระยะ
Reload	รีโหลด
Ammo	กระสุน
Cooldown	คูลดาวน์
Melee	ประชิด
Ranged	ระยะไกล

# --- status effects ---
Poison	พิษ
Burn	เผาไหม้
Freeze	แช่แข็ง
Stun	สตัน
Bleed	เลือดออก
Shield	โล่

# --- UI verbs ---
Confirm	ยืนยัน
Cancel	ยกเลิก
Back	ย้อนกลับ
Continue	เล่นต่อ
Settings	ตั้งค่า
Quit	ออก
Save	บันทึก
Load	โหลด
Equip	สวมใส่
Upgrade	อัปเกรด
Reroll	สุ่มใหม่
Skip	ข้าม
Ready	พร้อม
Unlock	ปลดล็อก
Refresh	รีเฟรช
Activate	เปิดใช้	shorter than เปิดใช้งาน; "Activated" = เปิดใช้แล้ว, "Not Activated" = ยังไม่เปิดใช้
Pick Up	เก็บ
Interact	โต้ตอบ
Share	แชร์
Drop	ทิ้ง
Dismantle	แยกชิ้นส่วน
Details	รายละเอียด
Hold to …	กดค้างเพื่อ…

# --- set by loc/th/gameui.tsv (batch 1) — keep these ---
Effect	เอฟเฟกต์	never ผลกระทบ; the game says "effects" constantly (particles + item effects)
DMG	ดาเมจ	only for the abbreviated form; spelled-out "Damage" stays ความเสียหาย
Ultimate	ท่าไม้ตาย
Battle Skill	สกิลรบ
Passive Effect	เอฟเฟกต์พาสซีฟ
Basic Skill	สกิลพื้นฐาน
